Year,Eligible Studies Started,Known-Location Studies,NEXUS Studies,NEXUS Percentage of All Eligible Studies,NEXUS Percentage of Known-Location Studies,3-Year Moving Average NEXUS Studies,Year Status
1991,8,2,0,0.0,0.0,0.0,complete year
1992,10,6,0,0.0,0.0,0.0,complete year
1993,19,6,0,0.0,0.0,0.0,complete year
1994,20,8,0,0.0,0.0,0.0,complete year
1995,35,13,0,0.0,0.0,0.0,complete year
1996,48,25,0,0.0,0.0,0.0,complete year
1997,76,48,0,0.0,0.0,0.0,complete year
1998,182,68,0,0.0,0.0,0.0,complete year
1999,244,130,0,0.0,0.0,0.0,complete year
2000,369,199,1,0.0027100271002710027,0.005025125628140704,0.3333333333333333,complete year
2001,653,409,6,0.009188361408882083,0.014669926650366748,2.3333333333333335,complete year
2002,1220,834,6,0.004918032786885246,0.007194244604316547,4.333333333333333,complete year
2003,1563,1131,11,0.007037747920665387,0.009725906277630416,7.666666666666667,complete year
2004,2104,1554,3,0.0014258555133079848,0.0019305019305019305,6.666666666666667,complete year
2005,2404,1895,21,0.008735440931780365,0.01108179419525066,11.666666666666666,complete year
2006,2905,2449,26,0.008950086058519793,0.010616578195181707,16.666666666666668,complete year
2007,3130,2679,40,0.012779552715654952,0.014930944382232176,29.0,complete year
2008,3389,2945,46,0.013573325464738861,0.01561969439728353,37.333333333333336,complete year
2009,3281,2919,39,0.011886619932947273,0.013360739979445015,41.666666666666664,complete year
2010,3143,2843,33,0.010499522748965956,0.01160745691171298,39.333333333333336,complete year
2011,3257,2973,33,0.01013202333435677,0.011099899091826439,35.0,complete year
2012,3017,2756,31,0.010275107722903546,0.011248185776487663,32.333333333333336,complete year
2013,2963,2726,39,0.013162335470806615,0.014306676449009537,34.333333333333336,complete year
2014,3255,2964,36,0.011059907834101382,0.012145748987854251,35.333333333333336,complete year
2015,3196,2923,41,0.012828535669586983,0.014026684912760863,38.666666666666664,complete year
2016,3103,2832,37,0.011923944569771189,0.013064971751412429,38.0,complete year
2017,3020,2933,70,0.023178807947019868,0.02386634844868735,49.333333333333336,complete year
2018,3171,3104,106,0.03342794071270892,0.03414948453608247,71.0,complete year
2019,3264,3176,133,0.040747549019607844,0.041876574307304786,103.0,complete year
2020,3338,3204,148,0.044337926902336726,0.046192259675405745,129.0,complete year
2021,4081,3928,208,0.0509679000245038,0.05295315682281059,163.0,complete year
2022,3708,3562,200,0.05393743257820928,0.05614823133071308,185.33333333333334,complete year
2023,3584,3437,212,0.05915178571428571,0.06168169915624091,206.66666666666666,complete year
2024,3574,3379,205,0.05735870173475098,0.06066883693400414,205.66666666666666,complete year
2025,3784,3526,294,0.0776955602536998,0.08338060124787294,237.0,complete year
2026,2827,2301,109,0.03855677396533427,0.04737070838765754,202.66666666666666,partial year
